,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Date,Team
5019,Caleb Okoli,5.0,it ITA,CB,23-063,90,0,0,0,0,1,1,0,0,45,3,1,5,0.0,0.0,0.0,0,0,26,31,83.9,2,23,0,0,0,2024-9-14,Leicester City
5020,Wout Faes,3.0,be BEL,CB,26-164,90,0,0,0,0,0,0,0,0,38,0,1,6,0.0,0.0,0.0,0,0,19,26,73.1,1,11,0,0,0,2024-9-14,Leicester City
5021,James Justin,2.0,eng ENG,RB,26-204,90,0,0,0,0,1,0,0,0,44,3,1,1,0.0,0.0,0.0,0,0,22,35,62.9,2,12,1,1,0,2024-9-14,Leicester City
5022,Mads Hermansen,30.0,dk DEN,GK,24-065,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,16,36,44.4,0,24,0,0,0,2024-9-14,Leicester City
5023,14 Players,,,,,990,2,2,0,0,9,4,3,0,460,19,8,26,1.2,1.2,1.2,16,3,229,333,68.8,16,200,9,19,11,2024-9-14,Leicester City
5024,Jamie Vardy,9.0,eng ENG,FW,37-327,59,1,0,0,0,3,2,1,0,12,1,0,1,0.7,0.7,0.0,0,0,3,7,42.9,0,7,3,0,0,2024-12-3,Leicester City
5025,Patson Daka,20.0,zm ZAM,FW,26-055,31,1,0,0,0,1,1,0,0,10,2,0,0,0.1,0.1,0.0,1,1,1,4,25.0,0,6,1,3,1,2024-12-3,Leicester City
5026,Bilal El Khannouss,11.0,ma MAR,"LW,AM",20-207,73,1,1,0,0,1,1,0,0,42,2,3,2,0.1,0.1,0.9,4,1,23,31,74.2,4,24,2,2,2,2024-12-3,Leicester City
5027,Bobby Reid,14.0,jm JAM,"AM,RW",31-305,17,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,3,0,0,0,2024-12-3,Leicester City
5028,Kasey McAteer,35.0,ie IRL,"RW,LW",23-011,73,0,1,0,0,2,1,0,0,32,5,0,2,0.4,0.4,0.1,2,1,14,21,66.7,2,19,5,0,0,2024-12-3,Leicester City
5029,Stephy Mavididi,10.0,eng ENG,LW,26-186,17,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,1,8,1,0,0,2024-12-3,Leicester City
5030,Facundo Buonanotte,40.0,ar ARG,"RW,AM",19-346,89,0,0,0,0,0,0,0,0,39,3,0,3,0.0,0.0,0.3,4,1,14,25,56.0,2,18,4,2,0,2024-12-3,Leicester City
5031,Jordan Ayew,18.0,gh GHA,AM,33-083,1,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,7,0,0,0,2024-12-3,Leicester City
5032,Boubakary Soumaré,24.0,fr FRA,DM,25-280,90,0,0,0,0,0,0,1,0,47,4,0,2,0.0,0.0,0.0,0,0,32,36,88.9,3,31,0,2,1,2024-12-3,Leicester City
5033,Wilfred Ndidi,6.0,ng NGA,DM,27-353,90,0,0,0,0,1,1,0,0,58,8,3,2,0.4,0.4,0.0,0,0,30,35,85.7,1,23,0,2,2,2024-12-3,Leicester City
5034,Victor Bernth Kristiansen,16.0,dk DEN,LB,21-353,90,0,1,0,0,0,0,0,0,51,5,1,3,0.0,0.0,0.3,3,2,32,39,82.1,2,30,2,0,0,2024-12-3,Leicester City
5035,Jannik Vestergaard,23.0,dk DEN,CB,32-122,59,0,0,0,0,0,0,0,0,54,2,1,1,0.0,0.0,0.0,0,0,41,48,85.4,1,35,0,0,0,2024-12-3,Leicester City
5036,Wout Faes,3.0,be BEL,CB,26-244,31,0,0,0,0,0,0,0,0,16,0,2,0,0.0,0.0,0.0,0,0,10,12,83.3,0,7,0,1,0,2024-12-3,Leicester City
5037,Conor Coady,4.0,eng ENG,CB,31-282,90,0,0,0,0,0,0,0,0,55,2,1,3,0.0,0.0,0.0,0,0,41,47,87.2,0,39,0,0,0,2024-12-3,Leicester City
5038,James Justin,2.0,eng ENG,RB,26-284,90,0,0,0,0,0,0,0,0,57,1,1,3,0.0,0.0,0.0,1,0,29,41,70.7,3,26,2,1,0,2024-12-3,Leicester City
5039,Mads Hermansen,30.0,dk DEN,GK,24-145,90,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.0,0,0,21,45,46.7,0,36,0,0,0,2024-12-3,Leicester City
5040,16 Players,,,,,990,3,3,0,0,8,6,2,0,552,35,12,22,1.7,1.7,1.6,15,6,304,409,74.3,20,319,20,13,6,2024-12-3,Leicester City
5041,Jamie Vardy,9.0,eng ENG,FW,37-226,70,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,1,6,11,54.5,2,6,0,0,0,2024-8-24,Leicester City
5042,Stephy Mavididi,10.0,eng ENG,FW,26-085,20,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,6,0,0,0,2024-8-24,Leicester City
5043,Bobby Reid,14.0,jm JAM,LW,31-204,62,0,0,0,0,1,1,0,0,25,1,0,3,0.0,0.0,0.0,1,0,14,16,87.5,2,14,1,1,0,2024-8-24,Leicester City
5044,Jordan Ayew,18.0,gh GHA,LW,32-348,28,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,1,0,7,8,87.5,1,9,0,1,1,2024-8-24,Leicester City
5045,Abdul Fatawu Issahaku,7.0,gh GHA,RW,20-169,90,0,0,0,0,3,1,0,0,44,5,2,2,0.1,0.1,0.0,2,0,12,24,50.0,2,27,3,6,1,2024-8-24,Leicester City
5046,Facundo Buonanotte,40.0,ar ARG,AM,19-245,70,0,1,0,0,0,0,0,0,28,3,1,2,0.0,0.0,0.2,3,1,12,17,70.6,1,16,0,3,1,2024-8-24,Leicester City
5047,Oliver Skipp,22.0,eng ENG,AM,23-343,20,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,15,16,93.8,1,13,1,1,1,2024-8-24,Leicester City
5048,Wilfred Ndidi,6.0,ng NGA,DM,27-252,90,0,0,0,0,1,1,0,0,56,3,0,2,0.1,0.1,0.0,3,0,41,46,89.1,6,33,1,3,2,2024-8-24,Leicester City
5049,Harry Winks,8.0,eng ENG,DM,28-204,90,0,0,0,0,0,0,0,0,68,0,0,2,0.0,0.0,0.1,2,0,57,62,91.9,4,34,0,0,0,2024-8-24,Leicester City
5050,Victor Bernth Kristiansen,16.0,dk DEN,LB,21-252,84,0,0,0,0,0,0,1,0,59,3,1,1,0.0,0.0,0.0,0,0,29,49,59.2,1,32,1,1,1,2024-8-24,Leicester City
5051,Kasey McAteer,35.0,ie IRL,LB,22-276,6,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,4,7,57.1,0,2,0,0,0,2024-8-24,Leicester City
5052,Wout Faes,3.0,be BEL,CB,26-143,90,1,0,0,0,3,1,0,0,85,0,2,7,0.3,0.3,0.0,0,0,58,65,89.2,1,41,0,0,0,2024-8-24,Leicester City
5053,Jannik Vestergaard,23.0,dk DEN,CB,32-021,90,0,0,0,0,1,0,1,0,79,2,0,0,0.0,0.0,0.0,0,0,61,68,89.7,1,51,0,0,0,2024-8-24,Leicester City
5054,James Justin,2.0,eng ENG,RB,26-183,90,0,0,0,0,0,0,0,0,58,3,1,1,0.0,0.0,0.0,2,0,41,47,87.2,0,25,1,2,0,2024-8-24,Leicester City
5055,Mads Hermansen,30.0,dk DEN,GK,24-044,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,39,47,83.0,0,28,0,0,0,2024-8-24,Leicester City
5056,15 Players,,,,,990,1,1,0,0,10,4,2,0,606,21,7,20,0.6,0.6,0.4,16,2,402,489,82.2,22,337,8,18,7,2024-8-24,Leicester City
5057,Jamie Vardy,9.0,eng ENG,FW,37-332,90,1,1,0,0,3,1,0,0,23,1,0,0,0.5,0.5,0.6,1,1,10,13,76.9,2,11,1,1,0,2024-12-8,Leicester City
5058,Jordan Ayew,18.0,gh GHA,LW,33-088,61,0,0,0,0,1,0,0,0,24,0,0,1,0.0,0.0,0.1,1,0,16,20,80.0,1,14,2,1,1,2024-12-8,Leicester City
5059,Stephy Mavididi,10.0,eng ENG,LW,26-191,29,0,0,0,0,1,0,0,0,23,0,0,1,0.0,0.0,0.1,2,1,13,17,76.5,2,16,2,6,3,2024-12-8,Leicester City
5060,Kasey McAteer,35.0,ie IRL,RW,23-016,61,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,2,0,13,20,65.0,0,22,0,4,0,2024-12-8,Leicester City
5061,Bobby Reid,14.0,jm JAM,RW,31-310,29,1,0,0,0,2,1,0,0,11,0,0,0,0.6,0.6,0.0,1,1,6,7,85.7,1,6,0,0,0,2024-12-8,Leicester City
5062,Bilal El Khannouss,11.0,ma MAR,AM,20-212,80,0,0,0,0,0,0,0,0,54,3,0,2,0.0,0.0,0.1,2,0,36,46,78.3,9,40,1,1,1,2024-12-8,Leicester City
5063,Patson Daka,20.0,zm ZAM,AM,26-060,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,1,0,0,0,2024-12-8,Leicester City
5064,Boubakary Soumaré,24.0,fr FRA,DM,25-285,90,0,0,0,0,1,0,1,0,73,3,1,0,0.0,0.0,0.0,4,0,51,62,82.3,3,44,1,5,3,2024-12-8,Leicester City
5065,Wilfred Ndidi,6.0,ng NGA,DM,27-358,51,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.0,0,0,26,27,96.3,0,21,0,0,0,2024-12-8,Leicester City
5066,Oliver Skipp,22.0,eng ENG,DM,24-083,39,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,1,0,16,18,88.9,1,12,0,0,0,2024-12-8,Leicester City
5067,Victor Bernth Kristiansen,16.0,dk DEN,LB,21-358,90,0,0,0,0,0,0,0,0,66,4,0,2,0.0,0.0,0.1,2,0,39,55,70.9,3,26,2,1,1,2024-12-8,Leicester City
5068,Jannik Vestergaard,23.0,dk DEN,CB,32-127,80,0,0,0,0,0,0,0,0,70,1,2,2,0.0,0.0,0.0,0,0,61,65,93.8,3,44,0,1,1,2024-12-8,Leicester City
5069,Wout Faes,3.0,be BEL,CB,26-249,10,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,12,13,92.3,0,10,0,0,0,2024-12-8,Leicester City
5070,Conor Coady,4.0,eng ENG,CB,31-287,90,0,0,0,0,0,0,0,0,92,1,1,1,0.0,0.0,0.0,1,0,83,89,93.3,2,80,0,1,1,2024-12-8,Leicester City
5071,James Justin,2.0,eng ENG,RB,26-289,90,0,0,0,0,2,1,0,0,70,1,2,2,0.1,0.1,0.0,0,0,50,61,82.0,2,37,0,1,1,2024-12-8,Leicester City
5072,Mads Hermansen,30.0,dk DEN,GK,24-150,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,0,0,36,53,67.9,0,42,0,0,0,2024-12-8,Leicester City
5073,16 Players,,,,,990,2,1,0,0,10,3,1,0,655,15,6,13,1.3,1.3,0.9,17,3,472,570,82.8,29,426,9,22,12,2024-12-8,Leicester City
5074,Jordan Ayew,18.0,gh GHA,FW,33-060,87,0,0,0,0,1,1,0,0,36,2,1,1,0.0,0.0,0.0,1,0,17,22,77.3,2,14,0,2,0,2024-11-10,Leicester City
5075,Odsonne Édouard,29.0,fr FRA,FW,26-299,3,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,0,0,0,2024-11-10,Leicester City
5076,Abdul Fatawu Issahaku,7.0,gh GHA,"LW,RB",20-247,90,0,0,0,0,1,1,0,0,40,1,0,2,0.0,0.0,0.0,4,0,16,26,61.5,3,31,7,16,12,2024-11-10,Leicester City
5077,Facundo Buonanotte,40.0,ar ARG,RW,19-323,90,0,0,0,0,0,0,1,0,62,1,1,3,0.0,0.0,0.5,3,0,30,42,71.4,2,28,2,12,5,2024-11-10,Leicester City
5078,Wilfred Ndidi,6.0,ng NGA,LM,27-330,69,0,0,0,0,3,2,0,0,35,2,1,2,0.5,0.5,0.0,1,0,21,24,87.5,4,15,1,3,1,2024-11-10,Leicester City
5079,Bilal El Khannouss,11.0,ma MAR,LM,20-184,21,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,0,5,0,0,0,2024-11-10,Leicester City
5080,Harry Winks,8.0,eng ENG,CM,28-282,90,0,0,0,0,1,1,0,0,77,2,0,1,0.0,0.0,0.0,1,0,65,73,89.0,12,48,1,0,0,2024-11-10,Leicester City
5081,Boubakary Soumaré,24.0,fr FRA,RM,25-257,90,0,0,0,0,0,0,0,0,80,2,2,2,0.0,0.0,0.0,1,0,61,69,88.4,5,52,1,3,1,2024-11-10,Leicester City
5082,Victor Bernth Kristiansen,16.0,dk DEN,LB,21-330,90,0,0,0,0,0,0,0,0,59,2,0,1,0.0,0.0,0.0,0,0,39,49,79.6,4,33,0,0,0,2024-11-10,Leicester City
5083,Jannik Vestergaard,23.0,dk DEN,CB,32-099,90,0,0,0,0,0,0,0,0,66,1,0,0,0.0,0.0,0.0,0,0,57,63,90.5,0,46,0,0,0,2024-11-10,Leicester City
5084,Wout Faes,3.0,be BEL,CB,26-221,90,0,0,0,0,0,0,0,0,65,3,1,1,0.0,0.0,0.0,0,0,44,51,86.3,5,38,0,0,0,2024-11-10,Leicester City
5085,James Justin,2.0,eng ENG,RB,26-261,82,0,0,0,0,0,0,0,0,65,5,1,1,0.0,0.0,0.0,0,0,39,53,73.6,0,29,0,1,0,2024-11-10,Leicester City
5086,Kasey McAteer,35.0,ie IRL,"LW,RB",22-354,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,0,0,2024-11-10,Leicester City
5087,Mads Hermansen,30.0,dk DEN,GK,24-122,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,20,28,71.4,0,22,0,0,0,2024-11-10,Leicester City
5088,14 Players,,,,,990,0,0,0,0,6,5,1,0,633,22,7,14,0.6,0.6,0.6,11,0,421,516,81.6,37,366,12,37,19,2024-11-10,Leicester City
5089,Jamie Vardy,9.0,eng ENG,FW,37-221,78,1,0,0,0,2,2,0,0,18,1,1,0,0.8,0.8,0.0,0,0,4,10,40.0,1,9,0,0,0,2024-8-19,Leicester City
5090,Stephy Mavididi,10.0,eng ENG,FW,26-080,12,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,2,0,2,3,66.7,2,6,2,3,1,2024-8-19,Leicester City
5091,Bobby Reid,14.0,jm JAM,LW,31-199,85,0,0,0,0,1,0,0,0,31,0,0,1,0.1,0.1,0.0,1,0,15,24,62.5,0,17,1,0,0,2024-8-19,Leicester City
5092,Kasey McAteer,35.0,ie IRL,LW,22-271,5,0,0,0,0,1,0,0,0,12,2,0,4,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,0,0,2024-8-19,Leicester City
5093,Abdul Fatawu Issahaku,7.0,gh GHA,RW,20-164,90,0,1,0,0,0,0,0,0,49,6,0,1,0.0,0.0,0.5,3,1,18,25,72.0,2,27,5,8,3,2024-8-19,Leicester City
5094,Facundo Buonanotte,40.0,ar ARG,AM,19-240,78,0,0,0,0,0,0,0,0,35,3,0,1,0.0,0.0,0.4,2,0,20,25,80.0,5,18,2,4,1,2024-8-19,Leicester City
5095,Boubakary Soumaré,24.0,fr FRA,AM,25-174,12,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,2024-8-19,Leicester City
5096,Wilfred Ndidi,6.0,ng NGA,DM,27-247,90,0,0,0,0,2,1,0,0,55,2,0,5,0.1,0.1,0.0,1,0,27,35,77.1,2,21,0,2,1,2024-8-19,Leicester City
5097,Harry Winks,8.0,eng ENG,DM,28-199,90,0,0,0,0,0,0,0,0,43,3,1,1,0.0,0.0,0.0,1,0,34,41,82.9,6,16,1,1,1,2024-8-19,Leicester City
5098,Victor Bernth Kristiansen,16.0,dk DEN,LB,21-247,90,0,0,0,0,0,0,0,0,54,2,2,2,0.0,0.0,0.0,2,1,28,36,77.8,2,23,0,1,0,2024-8-19,Leicester City
5099,Wout Faes,3.0,be BEL,CB,26-138,90,0,0,0,0,0,0,1,0,40,1,1,1,0.0,0.0,0.0,1,0,27,30,90.0,0,20,0,0,0,2024-8-19,Leicester City
5100,Jannik Vestergaard,23.0,dk DEN,CB,32-016,90,0,0,0,0,0,0,0,0,29,0,2,2,0.0,0.0,0.0,0,0,15,16,93.8,2,11,0,0,0,2024-8-19,Leicester City
5101,James Justin,2.0,eng ENG,RB,26-178,90,0,0,0,0,1,0,0,0,46,1,3,2,0.1,0.1,0.0,0,0,28,33,84.8,1,18,1,0,0,2024-8-19,Leicester City
5102,Mads Hermansen,30.0,dk DEN,GK,24-039,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,14,28,50.0,0,21,0,0,0,2024-8-19,Leicester City
5103,14 Players,,,,,990,1,1,0,0,7,3,1,0,454,22,10,20,1.0,1.0,0.9,13,2,237,313,75.7,23,212,12,19,7,2024-8-19,Leicester City
5104,Jamie Vardy,9.0,eng ENG,FW,37-288,90,1,0,0,0,2,1,0,0,25,0,0,0,0.5,0.5,0.1,3,0,12,19,63.2,0,15,0,0,0,2024-10-25,Leicester City
5105,Stephy Mavididi,10.0,eng ENG,LW,26-147,67,0,0,0,0,2,0,1,0,40,0,0,0,0.0,0.0,0.0,3,1,21,31,67.7,2,32,6,2,0,2024-10-25,Leicester City
5106,Jordan Ayew,18.0,gh GHA,LW,33-044,23,0,0,0,0,0,0,1,0,14,0,0,0,0.0,0.0,0.0,1,0,10,12,83.3,0,12,0,0,0,2024-10-25,Leicester City
5107,Abdul Fatawu Issahaku,7.0,gh GHA,"RW,RM",20-231,90,0,0,0,0,1,0,0,0,66,1,0,1,0.0,0.0,0.0,2,0,29,45,64.4,4,45,12,10,3,2024-10-25,Leicester City
5108,Facundo Buonanotte,40.0,ar ARG,"AM,CM",19-307,90,0,0,0,0,4,0,0,0,79,2,2,4,0.1,0.1,0.0,3,0,45,51,88.2,5,44,7,5,2,2024-10-25,Leicester City
5109,Harry Winks,8.0,eng ENG,"DM,LM",28-266,90,0,1,0,0,1,0,1,0,87,0,0,2,0.0,0.0,0.5,3,1,69,81,85.2,8,70,2,0,0,2024-10-25,Leicester City
5110,Wilfred Ndidi,6.0,ng NGA,"DM,CM",27-314,73,0,0,0,0,1,0,0,0,45,1,0,2,0.0,0.0,0.0,0,0,29,35,82.9,3,27,2,0,0,2024-10-25,Leicester City
5111,Boubakary Soumaré,24.0,fr FRA,CM,25-241,17,0,0,0,0,0,0,1,0,13,1,0,0,0.0,0.0,0.0,0,0,9,11,81.8,1,8,1,1,1,2024-10-25,Leicester City
5112,James Justin,2.0,eng ENG,"LB,CB",26-245,90,0,0,0,0,0,0,0,0,95,3,1,0,0.0,0.0,0.0,3,0,71,84,84.5,10,61,2,1,0,2024-10-25,Leicester City
5113,Caleb Okoli,5.0,it ITA,CB,23-104,90,0,0,0,0,0,0,0,0,86,3,2,2,0.0,0.0,0.0,0,0,70,74,94.6,7,60,1,0,0,2024-10-25,Leicester City
5114,Wout Faes,3.0,be BEL,CB,26-205,90,0,0,0,0,0,0,0,0,81,1,0,2,0.0,0.0,0.0,0,0,68,75,90.7,8,64,0,0,0,2024-10-25,Leicester City
5115,Ricardo Pereira,21.0,pt POR,RB,31-019,67,0,0,0,0,0,0,1,0,54,2,1,1,0.0,0.0,0.0,0,0,43,48,89.6,3,33,0,0,0,2024-10-25,Leicester City
5116,Bilal El Khannouss,11.0,ma MAR,RW,20-168,23,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,11,13,84.6,4,15,2,1,0,2024-10-25,Leicester City
5117,Mads Hermansen,30.0,dk DEN,GK,24-106,90,0,0,0,0,0,0,0,0,41,0,0,1,0.0,0.0,0.0,0,0,31,36,86.1,0,25,0,0,0,2024-10-25,Leicester City
5118,14 Players,,,,,990,1,1,0,0,11,1,5,0,740,14,6,15,0.8,0.8,0.7,18,2,518,615,84.2,55,511,35,20,6,2024-10-25,Leicester City
5119,Jamie Vardy,9.0,eng ENG,FW,37-254,82,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,6,9,66.7,0,9,1,0,0,2024-9-21,Leicester City
5120,Odsonne Édouard,29.0,fr FRA,FW,26-249,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,1,3,0,0,0,2024-9-21,Leicester City
5121,Stephy Mavididi,10.0,eng ENG,LW,26-113,89,1,0,0,0,3,1,0,0,67,3,0,4,0.3,0.3,0.1,3,0,37,50,74.0,4,48,4,9,5,2024-9-21,Leicester City
5122,Abdul Fatawu Issahaku,7.0,gh GHA,LW,20-197,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,2024-9-21,Leicester City
5123,Jordan Ayew,18.0,gh GHA,RW,33-010,90,0,0,0,0,2,0,0,0,30,1,0,1,0.1,0.1,0.0,0,0,14,22,63.6,0,23,1,0,0,2024-9-21,Leicester City
5124,Bilal El Khannouss,11.0,ma MAR,AM,20-134,55,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.1,2,0,31,37,83.8,7,29,4,0,0,2024-9-21,Leicester City
5125,Facundo Buonanotte,40.0,ar ARG,AM,19-273,35,0,0,0,0,1,0,1,0,27,1,0,0,0.0,0.0,0.0,0,0,15,19,78.9,3,21,1,3,0,2024-9-21,Leicester City
5126,Wilfred Ndidi,6.0,ng NGA,DM,27-280,90,0,0,0,0,3,1,0,0,69,6,2,1,0.1,0.1,0.0,1,0,40,54,74.1,4,45,3,3,2,2024-9-21,Leicester City
5127,Harry Winks,8.0,eng ENG,DM,28-232,90,0,0,0,0,1,0,0,0,68,2,0,0,0.0,0.0,0.1,7,0,52,61,85.2,9,52,3,1,0,2024-9-21,Leicester City
5128,Victor Bernth Kristiansen,16.0,dk DEN,LB,21-280,90,0,0,0,0,0,0,0,0,96,3,1,0,0.0,0.0,0.0,2,0,74,88,84.1,8,60,2,1,0,2024-9-21,Leicester City
5129,Caleb Okoli,5.0,it ITA,CB,23-070,90,0,0,0,0,1,0,0,0,58,2,0,3,0.1,0.1,0.0,1,0,46,48,95.8,0,38,0,0,0,2024-9-21,Leicester City
5130,Wout Faes,3.0,be BEL,CB,26-171,90,0,0,0,0,1,0,0,0,67,2,0,2,0.1,0.1,0.0,0,0,47,52,90.4,5,41,2,0,0,2024-9-21,Leicester City
5131,James Justin,2.0,eng ENG,RB,26-211,90,0,0,0,0,0,0,0,0,57,3,1,2,0.0,0.0,0.0,3,0,33,44,75.0,3,25,1,1,1,2024-9-21,Leicester City
5132,Mads Hermansen,30.0,dk DEN,GK,24-072,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,28,33,84.8,0,21,0,0,0,2024-9-21,Leicester City
5133,14 Players,,,,,990,1,0,0,0,12,2,1,0,636,24,4,13,0.7,0.7,0.4,21,0,426,522,81.6,44,416,22,18,8,2024-9-21,Leicester City
5134,Patson Daka,20.0,zm ZAM,FW,26-078,90,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,0,0,7,10,70.0,0,7,0,1,0,2024-12-26,Leicester City
5135,Stephy Mavididi,10.0,eng ENG,LW,26-209,86,0,1,0,0,0,0,0,0,29,2,2,3,0.0,0.0,0.2,1,1,13,16,81.3,0,14,2,2,0,2024-12-26,Leicester City
5136,Bobby Reid,14.0,jm JAM,LW,31-328,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,1,0,2024-12-26,Leicester City
5137,Jordan Ayew,18.0,gh GHA,"RW,AM",33-106,90,1,0,0,0,1,1,1,0,44,2,2,1,0.2,0.2,0.0,1,0,15,29,51.7,0,20,1,1,0,2024-12-26,Leicester City
5138,Bilal El Khannouss,11.0,ma MAR,AM,20-230,63,0,0,0,0,1,0,0,0,23,2,1,1,0.0,0.0,0.0,2,1,15,16,93.8,1,8,0,1,0,2024-12-26,Leicester City
5139,Facundo Buonanotte,40.0,ar ARG,"AM,RW",20-003,27,0,0,0,0,0,0,0,0,15,1,0,1,0.0,0.0,0.0,0,0,7,11,63.6,0,4,0,2,0,2024-12-26,Leicester City
5140,Boubakary Soumaré,24.0,fr FRA,DM,25-303,90,0,0,0,0,0,0,0,0,41,1,3,1,0.0,0.0,0.0,0,0,25,32,78.1,3,18,0,1,1,2024-12-26,Leicester City
5141,Harry Winks,8.0,eng ENG,DM,28-328,64,0,0,0,0,0,0,0,0,31,1,0,1,0.0,0.0,0.0,1,0,19,25,76.0,2,15,0,1,0,2024-12-26,Leicester City
5142,Oliver Skipp,22.0,eng ENG,DM,24-101,26,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,7,8,87.5,1,4,0,0,0,2024-12-26,Leicester City
5143,Victor Bernth Kristiansen,16.0,dk DEN,LB,22-010,90,0,0,0,0,0,0,0,0,36,0,2,2,0.0,0.0,0.0,0,0,22,28,78.6,2,15,1,1,0,2024-12-26,Leicester City
5144,Jannik Vestergaard,23.0,dk DEN,CB,32-145,90,0,0,0,0,0,0,1,0,53,1,2,1,0.0,0.0,0.0,0,0,34,40,85.0,0,19,0,0,0,2024-12-26,Leicester City
5145,Conor Coady,4.0,eng ENG,CB,31-305,89,0,0,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.0,0,0,33,41,80.5,1,23,0,0,0,2024-12-26,Leicester City
5146,Caleb Okoli,5.0,it ITA,CB,23-166,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-12-26,Leicester City
5147,James Justin,2.0,eng ENG,RB,26-307,90,0,0,0,0,2,0,0,0,50,0,3,0,0.1,0.1,0.0,2,0,26,36,72.2,1,16,3,1,0,2024-12-26,Leicester City
5148,Jakub Stolarczyk,41.0,pl POL,GK,24-007,90,0,0,0,0,0,0,0,0,49,1,0,0,0.0,0.0,0.0,0,0,31,44,70.5,0,17,0,0,0,2024-12-26,Leicester City
5149,15 Players,,,,,990,1,1,0,0,4,1,2,0,454,13,15,13,0.3,0.3,0.3,7,2,256,338,75.7,11,181,7,12,1,2024-12-26,Leicester City
5150,Jamie Vardy,9.0,eng ENG,FW,37-296,90,0,1,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.3,3,1,9,13,69.2,1,11,1,0,0,2024-11-2,Leicester City
5151,Stephy Mavididi,10.0,eng ENG,LW,26-155,70,0,0,0,0,1,0,1,0,34,1,0,1,0.2,0.2,0.1,2,0,16,21,76.2,2,19,4,4,3,2024-11-2,Leicester City
5152,Kasey McAteer,35.0,ie IRL,"LW,WB",22-346,20,0,0,0,0,1,0,0,0,20,2,0,0,0.0,0.0,0.0,1,0,13,15,86.7,0,12,1,1,0,2024-11-2,Leicester City
5153,Abdul Fatawu Issahaku,7.0,gh GHA,"RW,WB",20-239,90,0,0,0,0,2,1,0,0,50,3,1,1,0.1,0.1,0.1,3,0,18,31,58.1,0,35,5,12,5,2024-11-2,Leicester City
5154,Facundo Buonanotte,40.0,ar ARG,AM,19-315,90,0,0,0,0,3,2,1,0,48,0,0,3,0.2,0.2,0.3,9,0,29,35,82.9,5,31,3,5,3,2024-11-2,Leicester City
