,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Date,Team
123,Ibrahima Konaté,5.0,fr FRA,CB,25-099,90,0,0,0,0,1,0,0,0,74,2,0,2,0.0,0.0,0.0,0,0,58,65,89.2,4,35,0,0,0,2024-9-1,Liverpool
124,Trent Alexander-Arnold,66.0,eng ENG,RB,25-330,75,0,0,0,0,0,0,0,0,51,3,0,1,0.0,0.0,0.0,0,0,32,46,69.6,3,14,2,2,0,2024-9-1,Liverpool
125,Conor Bradley,84.0,nir NIR,RB,21-054,15,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,13,16,81.3,2,7,2,0,0,2024-9-1,Liverpool
126,Alisson,1.0,br BRA,GK,31-335,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,31,36,86.1,0,21,0,0,0,2024-9-1,Liverpool
127,15 Players,,,,,990,3,3,0,0,11,3,1,0,615,24,10,13,1.8,1.8,1.4,21,6,414,497,83.3,30,282,20,20,5,2024-9-1,Liverpool
128,Diogo Jota,20.0,pt POR,FW,27-299,90,0,1,0,0,0,0,1,0,30,0,0,0,0.0,0.0,0.1,2,2,18,26,69.2,0,11,1,2,1,2024-9-28,Liverpool
129,Luis Díaz,7.0,co COL,LW,27-259,72,0,0,0,0,1,0,0,0,37,0,1,0,0.1,0.1,0.0,2,1,24,28,85.7,5,22,4,1,0,2024-9-28,Liverpool
130,Cody Gakpo,18.0,nl NED,LW,25-144,18,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,8,0,1,1,2024-9-28,Liverpool
131,Mohamed Salah,11.0,eg EGY,RW,32-105,90,1,0,1,1,2,1,0,0,38,2,0,1,1.3,0.5,0.2,2,0,19,29,65.5,2,16,2,3,2,2024-9-28,Liverpool
132,Dominik Szoboszlai,8.0,hu HUN,AM,23-339,72,0,0,0,0,1,1,0,0,35,0,0,0,0.8,0.8,0.0,1,0,26,31,83.9,2,14,1,1,0,2024-9-28,Liverpool
133,Curtis Jones,17.0,eng ENG,AM,23-242,18,0,0,0,0,1,1,0,0,14,0,0,2,0.1,0.1,0.0,1,0,4,7,57.1,1,7,0,0,0,2024-9-28,Liverpool
