,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Referee,Sh,SoT,Dist,FK,PK,PKatt,Team,Opp,Hour,Day,GF_rolling,GA_rolling,xG_rolling,xGA_rolling,Poss_rolling,Sh_rolling,SoT_rolling,Dist_rolling,FK_rolling,PK_rolling,PKatt_rolling
56,2024-10-19,15:00,0,0,1.0,2.0,13,0.9,1.3,50.0,16,8.0,2.0,17.9,1.0,0,0,3,13,15,5,2.3333333333333335,2.3333333333333335,1.8,1.8333333333333333,51.0,10.666666666666666,6.666666666666667,16.033333333333335,0.6666666666666666,0.3333333333333333,0.3333333333333333
57,2024-10-26,15:00,1,1,4.0,3.0,9,4.0,1.3,65.0,10,19.0,8.0,16.0,1.0,1,1,3,9,15,5,2.3333333333333335,2.0,1.8333333333333337,1.0999999999999999,50.333333333333336,11.333333333333334,5.333333333333333,17.2,1.0,0.3333333333333333,0.3333333333333333
58,2024-11-04,20:00,0,0,1.0,2.0,8,0.6,1.3,32.0,18,5.0,2.0,18.0,0.0,0,0,3,8,20,0,3.3333333333333335,2.6666666666666665,3.033333333333333,1.2,53.0,15.0,7.0,15.633333333333333,1.0,0.6666666666666666,0.6666666666666666
59,2024-11-09,15:00,1,1,3.0,2.0,2,1.5,2.6,51.0,4,12.0,6.0,14.6,0.0,0,0,3,2,15,5,2.0,2.3333333333333335,1.8333333333333333,1.3,49.0,10.666666666666666,4.0,17.3,0.6666666666666666,0.3333333333333333,0.3333333333333333
60,2024-11-23,15:00,0,0,0.0,0.0,7,1.1,1.2,41.0,2,9.0,2.0,18.4,0.0,0,0,3,7,15,5,2.6666666666666665,2.3333333333333335,2.033333333333333,1.7333333333333334,49.333333333333336,12.0,5.333333333333333,16.2,0.3333333333333333,0.3333333333333333,0.3333333333333333
61,2024-11-30,15:00,1,1,4.0,1.0,10,2.4,1.1,60.0,11,13.0,6.0,16.0,1.0,0,0,3,10,15,5,1.3333333333333333,1.3333333333333333,1.0666666666666667,1.7,41.333333333333336,8.666666666666666,3.3333333333333335,17.0,0.0,0.0,0.0
62,2024-12-04,20:15,0,0,1.0,3.0,1,0.9,2.4,51.0,10,9.0,1.0,14.0,0.0,0,0,3,1,20,2,2.3333333333333335,1.0,1.6666666666666667,1.6333333333333335,50.666666666666664,11.333333333333334,4.666666666666667,16.333333333333332,0.3333333333333333,0.0,0.0
63,2024-12-07,15:00,1,1,4.0,2.0,14,1.2,1.5,43.0,17,11.0,7.0,17.6,0.0,0,0,3,14,15,5,1.6666666666666667,1.3333333333333333,1.4666666666666668,1.5666666666666664,50.666666666666664,10.333333333333334,3.0,16.133333333333333,0.3333333333333333,0.0,0.0
64,2024-12-15,19:00,0,0,1.0,2.0,5,1.6,2.2,38.0,13,9.0,4.0,11.9,0.0,0,0,3,5,19,6,3.0,2.0,1.5,1.6666666666666663,51.333333333333336,11.0,4.666666666666667,15.866666666666667,0.3333333333333333,0.0,0.0
65,2024-12-21,15:00,1,0,0.0,2.0,15,0.7,0.9,64.0,11,7.0,3.0,10.8,0.0,0,0,3,15,15,5,2.0,2.3333333333333335,1.2333333333333334,2.033333333333333,44.0,9.666666666666666,4.0,14.5,0.0,0.0,0.0
66,2024-08-24,12:30,1,1,2.0,1.0,13,2.1,1.4,48.0,3,14.0,4.0,14.2,1.0,0,0,4,13,12,5,3.0,0.0,1.4,0.5,60.0,10.0,5.0,13.8,0.0,0.0,0.0
67,2024-08-31,12:30,0,0,1.0,1.0,0,1.7,2.1,64.0,2,22.0,4.0,19.3,0.0,0,0,4,0,12,5,2.5,0.5,1.75,0.95,54.0,12.0,4.5,14.0,0.5,0.0,0.0
68,2024-09-14,15:00,1,0,0.0,0.0,9,1.6,0.3,68.0,16,21.0,6.0,18.5,2.0,0,0,4,9,15,5,2.0,0.6666666666666666,1.7333333333333334,1.3333333333333333,57.333333333333336,15.333333333333334,4.333333333333333,15.766666666666666,0.3333333333333333,0.0,0.0
69,2024-09-22,14:00,1,0,2.0,2.0,15,1.0,1.4,70.0,14,14.0,3.0,17.4,1.0,0,0,4,15,14,6,1.0,0.6666666666666666,1.8,1.2666666666666666,60.0,19.0,4.666666666666667,17.333333333333332,1.0,0.0,0.0
70,2024-09-28,15:00,0,0,2.0,4.0,5,1.1,4.2,59.0,13,15.0,5.0,20.1,2.0,0,0,4,5,15,5,1.0,1.0,1.4333333333333333,1.2666666666666666,67.33333333333333,19.0,4.333333333333333,18.400000000000002,1.0,0.0,0.0
